@timestamp,month,year,message,1.err_type,1.Params.Timestamp,1.Params.Host,1.Desc,input_type,delay,source,3.err_type,3.Params.Interface 2,3.Params.Timestamp,3.Params.Interface 1,3.Desc,2.err_type,2.Params.Timestamp,2.Desc,5.err_type,5.Params.Timestamp,5.Params.Host,5.Desc,4.err_type,4.Params.Timestamp,4.Params.Switch,4.Desc,7.err_type,7.Params.Timestamp,7.Params.Switch,7.Desc,6.err_type,6.Params.Timestamp,6.Params.Switch,6.Desc,9.err_type,9.Params.Timestamp,9.Params.Time,9.Desc,8.err_type,8.Params.Timestamp,8.Params.Time,8.Desc,type,simulation_id,tags.0,beat.hostname,beat.name,beat.version,host,offset,day,11.err_type,11.Params.Timestamp,11.Params.Switch,11.Desc,10.err_type,10.Params.Timestamp,10.Params.Switch,10.Desc,loglevel,time,action,@version,err.err_type,err.Params.Timestamp,err.Params.Switch,err.Desc
2017-07-28T09:44:13.649Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:10.324133"", ""Switch"": ""48""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,34650,28,,,,,,,,,INFO,"09:44:10,324",err,1,4,2017-07-28 09:44:10.324133,48,A switch has failed
2017-07-28T09:44:06.648Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:05.205872"", ""Switch"": ""39""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,34475,28,,,,,,,,,INFO,"09:44:05,206",err,1,4,2017-07-28 09:44:05.205872,39,A switch has failed
2017-07-28T09:43:53.641Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:43:49.919476"", ""Switch"": ""12""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728930_3.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,30659,28,,,,,,,,,INFO,"09:43:49,919",err,1,4,2017-07-28 09:43:49.919476,12,A switch has failed
2017-07-28T09:44:16.649Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:15.485376"", ""Switch"": ""29""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,34825,28,,,,,,,,,INFO,"09:44:15,485",err,1,4,2017-07-28 09:44:15.485376,29,A switch has failed
2017-07-28T09:43:02.023Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:42:58.650365"", ""Switch"": ""72""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728941_4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,3122,28,,,,,,,,,INFO,"09:42:58,650",err,1,4,2017-07-28 09:42:58.650365,72,A switch has failed
2017-07-28T09:43:36.645Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:43:34.578408"", ""Switch"": ""12""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,33425,28,,,,,,,,,INFO,"09:43:34,578",err,1,4,2017-07-28 09:43:34.578408,12,A switch has failed
2017-07-28T09:43:12.026Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:43:08.980301"", ""Switch"": ""44""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728941_4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,3472,28,,,,,,,,,INFO,"09:43:08,980",err,1,4,2017-07-28 09:43:08.980301,44,A switch has failed
2017-07-28T09:45:02.042Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:45:01.416207"", ""Switch"": ""77""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728941_4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,7320,28,,,,,,,,,INFO,"09:45:01,416",err,1,4,2017-07-28 09:45:01.416207,77,A switch has failed
2017-07-28T09:45:03.651Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:45:01.416207"", ""Switch"": ""77""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728930_3.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,33108,28,,,,,,,,,INFO,"09:45:01,416",err,1,4,2017-07-28 09:45:01.416207,77,A switch has failed
2017-07-28T09:44:36.647Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:35.797191"", ""Switch"": ""23""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728930_3.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,32233,28,,,,,,,,,INFO,"09:44:35,797",err,1,4,2017-07-28 09:44:35.797191,23,A switch has failed
